486, user19, website164 
474, user48, website194 
480, user45, website51 
96, user4, website75 
18, user40, website86 
252, user28, website58 
402, user46, website207 
68, user5, website78 
142, user30, website224 
339, user1, website240 
368, user44, website118 
94, user33, website203 
144, user23, website61 
122, user45, website134 
383, user21, website220 
68, user12, website64 
411, user36, website206 
136, user33, website222 
408, user46, website196 
231, user7, website197 
338, user43, website228 
336, user5, website64 
288, user9, website116 
170, user23, website87 
309, user6, website234 
461, user46, website154 
486, user28, website64 
143, user20, website127 
155, user36, website144 
41, user47, website59 
5, user14, website175 
419, user17, website177 
142, user38, website116 
272, user25, website94 
152, user38, website17 
229, user12, website176 
149, user40, website176 
277, user12, website78 
242, user13, website19 
127, user1, website227 
337, user18, website195 
442, user49, website10 
59, user25, website91 
260, user26, website243 
369, user49, website26 
93, user40, website89 
77, user41, website48 
41, user19, website180 
3, user47, website64 
290, user39, website175 
130, user2, website185 
72, user6, website217 
319, user37, website179 
396, user45, website48 
260, user2, website232 
264, user10, website172 
23, user46, website86 
156, user6, website190 
298, user7, website32 
418, user29, website66 
63, user12, website116 
206, user49, website230 
394, user0, website12 
482, user14, website123 
432, user41, website80 
222, user6, website171 
81, user46, website16 
201, user42, website36 
19, user21, website247 
308, user2, website106 
223, user25, website126 
399, user37, website195 
191, user13, website204 
383, user37, website6 
129, user35, website171 
467, user48, website90 
488, user21, website40 
212, user41, website100 
158, user10, website136 
364, user5, website21 
255, user42, website220 
341, user40, website180 
420, user46, website140 
198, user2, website155 
148, user14, website163 
352, user16, website15 
319, user11, website100 
1, user24, website118 
71, user6, website216 
391, user27, website180 
230, user11, website68 
23, user39, website109 
134, user43, website240 
102, user41, website1 
399, user7, website164 
195, user36, website159 
221, user20, website16 
470, user24, website68 
125, user3, website171 
135, user27, website200 
306, user48, website127 
411, user47, website63 
386, user20, website134 
78, user31, website95 
52, user15, website119 
53, user1, website201 
317, user10, website67 
230, user37, website240 
59, user11, website117 
229, user34, website88 
297, user32, website247 
192, user38, website171 
44, user31, website158 
306, user43, website63 
366, user41, website58 
412, user15, website219 
373, user38, website68 
367, user15, website214 
414, user21, website30 
248, user47, website3 
111, user3, website208 
113, user29, website40 
460, user42, website24 
38, user24, website186 
368, user11, website142 
469, user47, website216 
206, user47, website162 
396, user15, website212 
336, user3, website162 
188, user6, website78 
220, user49, website34 
37, user26, website105 
331, user42, website184 
16, user38, website136 
73, user18, website241 
141, user41, website56 
